Date,Percent per annum
14.12.18,-0.734273
13.12.18,-0.714997
12.12.18,-0.705511
11.12.18,-0.70799
10.12.18,-0.693909
07.12.18,-0.705786
06.12.18,-0.713395
05.12.18,-0.702107
04.12.18,-0.702993
03.12.18,-0.694167
30.11.18,-0.695103
29.11.18,-0.705935
28.11.18,-0.698943
27.11.18,-0.698208
26.11.18,-0.690841
23.11.18,-0.695815
22.11.18,-0.698949
21.11.18,-0.708331
20.11.18,-0.708767
19.11.18,-0.705052
16.11.18,-0.702863
15.11.18,-0.704916
14.11.18,-0.696777
13.11.18,-0.699609
12.11.18,-0.704418
09.11.18,-0.700607
08.11.18,-0.693444
07.11.18,-0.693089
06.11.18,-0.712856
05.11.18,-0.701524
02.11.18,-0.715974
01.11.18,-0.723392
31.10.18,-0.730937
30.10.18,-0.747224
29.10.18,-0.740918
26.10.18,-0.74528
25.10.18,-0.735702
24.10.18,-0.729739
23.10.18,-0.726487
22.10.18,-0.718423
19.10.18,-0.729713
18.10.18,-0.711133
17.10.18,-0.700983
16.10.18,-0.699776
15.10.18,-0.691815
12.10.18,-0.67426
11.10.18,-0.661292
10.10.18,-0.643335
09.10.18,-0.645182
08.10.18,-0.646548
05.10.18,-0.633884
04.10.18,-0.632584
03.10.18,-0.63631
02.10.18,-0.640669
01.10.18,-0.633026
28.09.18,-0.630101
27.09.18,-0.620028
26.09.18,-0.614376
25.09.18,-0.61739
24.09.18,-0.620044
21.09.18,-0.628775
20.09.18,-0.625059
19.09.18,-0.617384
18.09.18,-0.623046
17.09.18,-0.624305
14.09.18,-0.621936
13.09.18,-0.63046
12.09.18,-0.633137
11.09.18,-0.625495
10.09.18,-0.62544
07.09.18,-0.637603
06.09.18,-0.642215
05.09.18,-0.634709
04.09.18,-0.65199
03.09.18,-0.668029
31.08.18,-0.671035
30.08.18,-0.673293
29.08.18,-0.65082
28.08.18,-0.654301
27.08.18,-0.663719
24.08.18,-0.661029
23.08.18,-0.670783
22.08.18,-0.675783
21.08.18,-0.680845
20.08.18,-0.695049
17.08.18,-0.688657
16.08.18,-0.685574
15.08.18,-0.689447
14.08.18,-0.685527
13.08.18,-0.691312
10.08.18,-0.687078
09.08.18,-0.672288
08.08.18,-0.65494
07.08.18,-0.665154
06.08.18,-0.667126
03.08.18,-0.678503
02.08.18,-0.656835
01.08.18,-0.660263
31.07.18,-0.653104
30.07.18,-0.669809
27.07.18,-0.696875
26.07.18,-0.685138
25.07.18,-0.679871
24.07.18,-0.679335
23.07.18,-0.680789
20.07.18,-0.689599
19.07.18,-0.693839
18.07.18,-0.686146
17.07.18,-0.692529
16.07.18,-0.686565
13.07.18,-0.691167
12.07.18,-0.691349
11.07.18,-0.680032
10.07.18,-0.690279
09.07.18,-0.687577
06.07.18,-0.705254
05.07.18,-0.704845
04.07.18,-0.707696
03.07.18,-0.708186
02.07.18,-0.719157
29.06.18,-0.70795
28.06.18,-0.720385
27.06.18,-0.722493
26.06.18,-0.727407
25.06.18,-0.720261
22.06.18,-0.714935
21.06.18,-0.708946
20.06.18,-0.699614
19.06.18,-0.697919
18.06.18,-0.691456
15.06.18,-0.684813
14.06.18,-0.683569
13.06.18,-0.672005
12.06.18,-0.669803
11.06.18,-0.686678
08.06.18,-0.708253
07.06.18,-0.680709
06.06.18,-0.673362
05.06.18,-0.691534
04.06.18,-0.674684
01.06.18,-0.676069
31.05.18,-0.719417
30.05.18,-0.724922
29.05.18,-0.722636
28.05.18,-0.719471
25.05.18,-0.690233
24.05.18,-0.667393
23.05.18,-0.668259
22.05.18,-0.66338
21.05.18,-0.664673
18.05.18,-0.648662
17.05.18,-0.654213
16.05.18,-0.646528
15.05.18,-0.63756
14.05.18,-0.642374
11.05.18,-0.653163
10.05.18,-0.662346
09.05.18,-0.648508
08.05.18,-0.65257
07.05.18,-0.655199
04.05.18,-0.651842
03.05.18,-0.662349
02.05.18,-0.667665
30.04.18,-0.65942
27.04.18,-0.66699
26.04.18,-0.659838
25.04.18,-0.653543
24.04.18,-0.652183
23.04.18,-0.653983
20.04.18,-0.657938
19.04.18,-0.656826
18.04.18,-0.663997
17.04.18,-0.671855
16.04.18,-0.673924
13.04.18,-0.675527
12.04.18,-0.672974
11.04.18,-0.665351
10.04.18,-0.663962
09.04.18,-0.673529
06.04.18,-0.680928
05.04.18,-0.677706
04.04.18,-0.689405
03.04.18,-0.687276
29.03.18,-0.697544
28.03.18,-0.70003
27.03.18,-0.703261
26.03.18,-0.697686
23.03.18,-0.705379
22.03.18,-0.70846
21.03.18,-0.69123
20.03.18,-0.683033
19.03.18,-0.691335
16.03.18,-0.698511
15.03.18,-0.693485
14.03.18,-0.690417
13.03.18,-0.700009
12.03.18,-0.689366
09.03.18,-0.689511
08.03.18,-0.682677
07.03.18,-0.676799
06.03.18,-0.69025
05.03.18,-0.692454
02.03.18,-0.686607
01.03.18,-0.682654
28.02.18,-0.681066
27.02.18,-0.68379
26.02.18,-0.676937
23.02.18,-0.670312
22.02.18,-0.669295
21.02.18,-0.660773
20.02.18,-0.666179
19.02.18,-0.665947
16.02.18,-0.661385
15.02.18,-0.652912
14.02.18,-0.662334
13.02.18,-0.674382
12.02.18,-0.673638
09.02.18,-0.666875
08.02.18,-0.64408
07.02.18,-0.66182
06.02.18,-0.660002
05.02.18,-0.662064
02.02.18,-0.648974
01.02.18,-0.649746
31.01.18,-0.639447
30.01.18,-0.634641
29.01.18,-0.618942
26.01.18,-0.635813
25.01.18,-0.639297
24.01.18,-0.655322
23.01.18,-0.651204
22.01.18,-0.66185
19.01.18,-0.662531
18.01.18,-0.655532
17.01.18,-0.651773
16.01.18,-0.65132
15.01.18,-0.659004
12.01.18,-0.643394
11.01.18,-0.63088
10.01.18,-0.672545
09.01.18,-0.681156
08.01.18,-0.675209
05.01.18,-0.675266
04.01.18,-0.678375
03.01.18,-0.69693
02.01.18,-0.712228
29.12.17,-0.737874
28.12.17,-0.726626
27.12.17,-0.78274
22.12.17,-0.777337
21.12.17,-0.788454
20.12.17,-0.811416
19.12.17,-0.824989
18.12.17,-0.820556
15.12.17,-0.82513
14.12.17,-0.826882
13.12.17,-0.818551
12.12.17,-0.816801
11.12.17,-0.815269
08.12.17,-0.820284
07.12.17,-0.820062
06.12.17,-0.802069
05.12.17,-0.795474
04.12.17,-0.785179
01.12.17,-0.781438
30.11.17,-0.764806
29.11.17,-0.770753
28.11.17,-0.774263
27.11.17,-0.757876
24.11.17,-0.767914
23.11.17,-0.776053
22.11.17,-0.770672
21.11.17,-0.780149
20.11.17,-0.777944
17.11.17,-0.777432
16.11.17,-0.776196
15.11.17,-0.787631
14.11.17,-0.777656
13.11.17,-0.783052
10.11.17,-0.789651
09.11.17,-0.785622
08.11.17,-0.794182
07.11.17,-0.795053
